,Names,Latitudes,Longitudes,Price of Guinness,First Added By,First Added On,LastVerifiedBy,LastVerifiedOn,RMG,JB,DP,COC,BOC,ES,KON,SOS,SH,MOS,SC,AD,SP,MK
,Peter's Pub,53.3408869,-6.2632389,€5.60,Daniel Purdy,7/10/17,Daniel Purdy,07/10/2017,,,1,,,,,,,,,,,
,Peruke and Periwig,53.340074,-6.25868,€5.60,Katie O'Neill,12/11/2017,Katie O'Neill,29/11/2017,,,,,,,2,,,,,,,
,The Dubliner,53.3321344,-6.2339528,€5.60,Marc O'Sullivan,14/11/2017,Marc O'Sullivan,14/11/2017,,,,,,,,,,1,,,,
,Fitzsimon's,53.3454409,-6.2651087,€5.70,,,,,,,,,,,,,,,,,,
,Button Factory,53.344976,-6.264474,€5.70,Katie O'Neill,30/11/2017,Katie O'Neill,30/11/2017,,,,,,,1,,,,,,,
,Crowbar,53.344943,-6.264337,€5.70,Robbie Mc Guinness,20/10/2017,Robbie Mc Guinness,20/10/2017,1,,,,,,,,1,,,,,
,The Mercantile,53.3439735,-6.2639343,€5.70,Robbie Mc Guinness,15/10/2017,Robbie Mc Guinness,15/10/2017,1,,,,,,,,,,,,,
,Odessa,53.343589,-6.263841,€5.70,Emmet Sheerin,28/09/2017,Emmet Sheerin,28/09/2017,,,,,,1,,,,,,,,
,The Morgan,53.3458462,-6.2632718,€5.80,,,,,,,,,,,,,,,,,,
,HQ,53.3443491,-6.2381779,€5.80,James Bingham,21/09/2017,James Bingham,21/09/2017,,1,,,,,,,,,,,,
,The Black Door,53.3341195,-6.2630443,€5.80,Marc O'Sullivan,9/12/2017,Marc O'Sullivan,9/12/2017,,,,,,,,,,1,,,,
,The Church,53.3485845,-6.266964,€5.85,James Bingham,25/10/2017,James Bingham,25/10/2017,,1,,,,,,,,,,,,
